onset	onsetTR	message	subject	run	block	condition	phase	stimulus
4.500	3.000	stimOnset	011	3	1	continuous_8s	2.094	gabor45
5.100	3.400	fixCatch	011	3	1	continuous_8s	2.094	gabor45
12.500	8.333	stimOffset	011	3	1	continuous_8s	2.094	gabor45
12.516	8.344	breakOnset	011	3	1	continuous_8s	2.094	gabor45
12.523	8.348	buttonpress	011	3	1	continuous_8s	2.094	gabor45
26.999	17.999	stimOnset	011	3	2	flashed_6s	1.833	gabor135
27.033	18.022	stimOffset	011	3	2	flashed_6s	1.833	gabor135
27.249	18.166	stimOnset	011	3	2	flashed_6s	1.833	gabor135
27.283	18.188	stimOffset	011	3	2	flashed_6s	1.833	gabor135
27.499	18.333	stimOnset	011	3	2	flashed_6s	1.833	gabor135
27.533	18.355	stimOffset	011	3	2	flashed_6s	1.833	gabor135
27.749	18.499	stimOnset	011	3	2	flashed_6s	1.833	gabor135
27.783	18.522	stimOffset	011	3	2	flashed_6s	1.833	gabor135
27.999	18.666	stimOnset	011	3	2	flashed_6s	1.833	gabor135
28.033	18.688	stimOffset	011	3	2	flashed_6s	1.833	gabor135
28.249	18.833	stimOnset	011	3	2	flashed_6s	1.833	gabor135
28.283	18.855	stimOffset	011	3	2	flashed_6s	1.833	gabor135
28.499	18.999	stimOnset	011	3	2	flashed_6s	1.833	gabor135
28.533	19.022	stimOffset	011	3	2	flashed_6s	1.833	gabor135
28.749	19.166	stimOnset	011	3	2	flashed_6s	1.833	gabor135
28.783	19.188	stimOffset	011	3	2	flashed_6s	1.833	gabor135
28.999	19.333	stimOnset	011	3	2	flashed_6s	1.833	gabor135
29.033	19.355	stimOffset	011	3	2	flashed_6s	1.833	gabor135
29.249	19.499	stimOnset	011	3	2	flashed_6s	1.833	gabor135
29.283	19.522	stimOffset	011	3	2	flashed_6s	1.833	gabor135
29.499	19.666	stimOnset	011	3	2	flashed_6s	1.833	gabor135
29.533	19.688	stimOffset	011	3	2	flashed_6s	1.833	gabor135
29.749	19.833	stimOnset	011	3	2	flashed_6s	1.833	gabor135
29.782	19.855	stimOffset	011	3	2	flashed_6s	1.833	gabor135
29.999	19.999	stimOnset	011	3	2	flashed_6s	1.833	gabor135
30.032	20.022	stimOffset	011	3	2	flashed_6s	1.833	gabor135
30.249	20.166	stimOnset	011	3	2	flashed_6s	1.833	gabor135
30.282	20.188	stimOffset	011	3	2	flashed_6s	1.833	gabor135
30.366	20.244	fixCatch	011	3	2	flashed_6s	1.833	gabor135
30.499	20.333	stimOnset	011	3	2	flashed_6s	1.833	gabor135
30.532	20.355	stimOffset	011	3	2	flashed_6s	1.833	gabor135
30.749	20.499	stimOnset	011	3	2	flashed_6s	1.833	gabor135
30.782	20.522	stimOffset	011	3	2	flashed_6s	1.833	gabor135
30.999	20.666	stimOnset	011	3	2	flashed_6s	1.833	gabor135
31.032	20.688	stimOffset	011	3	2	flashed_6s	1.833	gabor135
31.249	20.833	stimOnset	011	3	2	flashed_6s	1.833	gabor135
31.282	20.855	stimOffset	011	3	2	flashed_6s	1.833	gabor135
31.499	20.999	stimOnset	011	3	2	flashed_6s	1.833	gabor135
31.532	21.022	stimOffset	011	3	2	flashed_6s	1.833	gabor135
31.749	21.166	stimOnset	011	3	2	flashed_6s	1.833	gabor135
31.782	21.188	stimOffset	011	3	2	flashed_6s	1.833	gabor135
31.999	21.333	stimOnset	011	3	2	flashed_6s	1.833	gabor135
32.032	21.355	stimOffset	011	3	2	flashed_6s	1.833	gabor135
32.249	21.499	stimOnset	011	3	2	flashed_6s	1.833	gabor135
32.282	21.522	stimOffset	011	3	2	flashed_6s	1.833	gabor135
32.499	21.666	stimOnset	011	3	2	flashed_6s	1.833	gabor135
32.532	21.688	stimOffset	011	3	2	flashed_6s	1.833	gabor135
32.549	21.699	fixCatch	011	3	2	flashed_6s	1.833	gabor135
32.749	21.833	stimOnset	011	3	2	flashed_6s	1.833	gabor135
32.782	21.855	stimOffset	011	3	2	flashed_6s	1.833	gabor135
32.832	21.888	fixCatch	011	3	2	flashed_6s	1.833	gabor135
32.999	21.999	breakOnset	011	3	2	flashed_6s	1.833	gabor135
33.003	22.002	buttonpress	011	3	2	flashed_6s	1.833	gabor135
41.999	27.999	stimOnset	011	3	3	continuous_4s	1.047	gabor45
42.315	28.210	fixCatch	011	3	3	continuous_4s	1.047	gabor45
45.999	30.666	stimOffset	011	3	3	continuous_4s	1.047	gabor45
46.015	30.677	breakOnset	011	3	3	continuous_4s	1.047	gabor45
46.019	30.679	buttonpress	011	3	3	continuous_4s	1.047	gabor45
46.026	30.684	buttonpress	011	3	3	continuous_4s	1.047	gabor45
59.998	39.999	stimOnset	011	3	4	continuous_4s	2.618	gabor135
63.998	42.665	stimOffset	011	3	4	continuous_4s	2.618	gabor135
64.015	42.677	breakOnset	011	3	4	continuous_4s	2.618	gabor135
