onset	onsetTR	message	subject	run	block	condition	phase	stimulus
4.500	3.000	stimOnset	011	1	1	continuous_6s	1.571	gabor135
10.500	7.000	stimOffset	011	1	1	continuous_6s	1.571	gabor135
10.516	7.011	breakOnset	011	1	1	continuous_6s	1.571	gabor135
10.524	7.016	buttonpress	011	1	1	continuous_6s	1.571	gabor135
23.999	16.000	stimOnset	011	1	2	flashed_6s	0.262	gabor45
24.033	16.022	stimOffset	011	1	2	flashed_6s	0.262	gabor45
24.249	16.166	stimOnset	011	1	2	flashed_6s	0.262	gabor45
24.283	16.188	stimOffset	011	1	2	flashed_6s	0.262	gabor45
24.499	16.333	stimOnset	011	1	2	flashed_6s	0.262	gabor45
24.533	16.355	stimOffset	011	1	2	flashed_6s	0.262	gabor45
24.749	16.500	stimOnset	011	1	2	flashed_6s	0.262	gabor45
24.783	16.522	stimOffset	011	1	2	flashed_6s	0.262	gabor45
24.999	16.666	stimOnset	011	1	2	flashed_6s	0.262	gabor45
25.033	16.688	stimOffset	011	1	2	flashed_6s	0.262	gabor45
25.249	16.833	stimOnset	011	1	2	flashed_6s	0.262	gabor45
25.283	16.855	stimOffset	011	1	2	flashed_6s	0.262	gabor45
25.499	17.000	stimOnset	011	1	2	flashed_6s	0.262	gabor45
25.533	17.022	stimOffset	011	1	2	flashed_6s	0.262	gabor45
25.749	17.166	stimOnset	011	1	2	flashed_6s	0.262	gabor45
25.783	17.188	stimOffset	011	1	2	flashed_6s	0.262	gabor45
25.999	17.333	stimOnset	011	1	2	flashed_6s	0.262	gabor45
26.033	17.355	stimOffset	011	1	2	flashed_6s	0.262	gabor45
26.249	17.500	stimOnset	011	1	2	flashed_6s	0.262	gabor45
26.283	17.522	stimOffset	011	1	2	flashed_6s	0.262	gabor45
26.499	17.666	stimOnset	011	1	2	flashed_6s	0.262	gabor45
26.533	17.688	stimOffset	011	1	2	flashed_6s	0.262	gabor45
26.749	17.833	stimOnset	011	1	2	flashed_6s	0.262	gabor45
26.783	17.855	stimOffset	011	1	2	flashed_6s	0.262	gabor45
26.949	17.966	fixCatch	011	1	2	flashed_6s	0.262	gabor45
26.952	17.968	fixCatchNextStimulus	011	1	2	flashed_6s	0.262	gabor45
26.999	17.999	stimOnset	011	1	2	flashed_6s	0.262	gabor45
27.016	18.011	fixCatch	011	1	2	flashed_6s	0.262	gabor45
27.017	18.011	fixCatchNextStimulus	011	1	2	flashed_6s	0.262	gabor45
27.033	18.022	stimOffset	011	1	2	flashed_6s	0.262	gabor45
27.049	18.033	fixCatch	011	1	2	flashed_6s	0.262	gabor45
27.249	18.166	stimOnset	011	1	2	flashed_6s	0.262	gabor45
27.283	18.188	stimOffset	011	1	2	flashed_6s	0.262	gabor45
27.499	18.333	stimOnset	011	1	2	flashed_6s	0.262	gabor45
27.533	18.355	stimOffset	011	1	2	flashed_6s	0.262	gabor45
27.649	18.433	fixCatch	011	1	2	flashed_6s	0.262	gabor45
27.651	18.434	fixCatchNextStimulus	011	1	2	flashed_6s	0.262	gabor45
27.749	18.499	stimOnset	011	1	2	flashed_6s	0.262	gabor45
27.783	18.522	stimOffset	011	1	2	flashed_6s	0.262	gabor45
27.999	18.666	stimOnset	011	1	2	flashed_6s	0.262	gabor45
28.033	18.688	stimOffset	011	1	2	flashed_6s	0.262	gabor45
28.249	18.833	stimOnset	011	1	2	flashed_6s	0.262	gabor45
28.283	18.855	stimOffset	011	1	2	flashed_6s	0.262	gabor45
28.499	18.999	stimOnset	011	1	2	flashed_6s	0.262	gabor45
28.533	19.022	stimOffset	011	1	2	flashed_6s	0.262	gabor45
28.749	19.166	stimOnset	011	1	2	flashed_6s	0.262	gabor45
28.783	19.188	stimOffset	011	1	2	flashed_6s	0.262	gabor45
28.999	19.333	stimOnset	011	1	2	flashed_6s	0.262	gabor45
29.033	19.355	stimOffset	011	1	2	flashed_6s	0.262	gabor45
29.249	19.499	stimOnset	011	1	2	flashed_6s	0.262	gabor45
29.283	19.522	stimOffset	011	1	2	flashed_6s	0.262	gabor45
29.499	19.666	stimOnset	011	1	2	flashed_6s	0.262	gabor45
29.532	19.688	stimOffset	011	1	2	flashed_6s	0.262	gabor45
29.749	19.833	stimOnset	011	1	2	flashed_6s	0.262	gabor45
29.782	19.855	stimOffset	011	1	2	flashed_6s	0.262	gabor45
29.999	19.999	breakOnset	011	1	2	flashed_6s	0.262	gabor45
38.999	25.999	stimOnset	011	1	3	continuous_4s	4.189	gabor45
42.999	28.666	stimOffset	011	1	3	continuous_4s	4.189	gabor45
43.015	28.677	breakOnset	011	1	3	continuous_4s	4.189	gabor45
56.998	37.999	stimOnset	011	1	4	flashed_4s	2.880	gabor135
57.032	38.021	stimOffset	011	1	4	flashed_4s	2.880	gabor135
57.248	38.166	stimOnset	011	1	4	flashed_4s	2.880	gabor135
57.282	38.188	stimOffset	011	1	4	flashed_4s	2.880	gabor135
57.498	38.332	stimOnset	011	1	4	flashed_4s	2.880	gabor135
57.532	38.354	stimOffset	011	1	4	flashed_4s	2.880	gabor135
57.748	38.499	stimOnset	011	1	4	flashed_4s	2.880	gabor135
57.782	38.521	stimOffset	011	1	4	flashed_4s	2.880	gabor135
57.998	38.666	stimOnset	011	1	4	flashed_4s	2.880	gabor135
58.032	38.688	stimOffset	011	1	4	flashed_4s	2.880	gabor135
58.248	38.832	stimOnset	011	1	4	flashed_4s	2.880	gabor135
58.282	38.854	stimOffset	011	1	4	flashed_4s	2.880	gabor135
58.498	38.999	stimOnset	011	1	4	flashed_4s	2.880	gabor135
58.532	39.021	stimOffset	011	1	4	flashed_4s	2.880	gabor135
58.748	39.166	stimOnset	011	1	4	flashed_4s	2.880	gabor135
58.782	39.188	stimOffset	011	1	4	flashed_4s	2.880	gabor135
58.998	39.332	stimOnset	011	1	4	flashed_4s	2.880	gabor135
59.032	39.354	stimOffset	011	1	4	flashed_4s	2.880	gabor135
59.248	39.499	stimOnset	011	1	4	flashed_4s	2.880	gabor135
59.282	39.521	stimOffset	011	1	4	flashed_4s	2.880	gabor135
59.498	39.666	stimOnset	011	1	4	flashed_4s	2.880	gabor135
59.532	39.688	stimOffset	011	1	4	flashed_4s	2.880	gabor135
59.748	39.832	stimOnset	011	1	4	flashed_4s	2.880	gabor135
59.782	39.854	stimOffset	011	1	4	flashed_4s	2.880	gabor135
59.998	39.999	stimOnset	011	1	4	flashed_4s	2.880	gabor135
60.032	40.021	stimOffset	011	1	4	flashed_4s	2.880	gabor135
60.248	40.166	stimOnset	011	1	4	flashed_4s	2.880	gabor135
60.282	40.188	stimOffset	011	1	4	flashed_4s	2.880	gabor135
60.498	40.332	stimOnset	011	1	4	flashed_4s	2.880	gabor135
60.532	40.354	stimOffset	011	1	4	flashed_4s	2.880	gabor135
60.748	40.499	stimOnset	011	1	4	flashed_4s	2.880	gabor135
60.782	40.521	stimOffset	011	1	4	flashed_4s	2.880	gabor135
60.998	40.665	breakOnset	011	1	4	flashed_4s	2.880	gabor135
71.998	47.999	stimOnset	011	1	5	flashed_4s	4.451	gabor45
72.031	48.021	stimOffset	011	1	5	flashed_4s	4.451	gabor45
72.248	48.165	stimOnset	011	1	5	flashed_4s	4.451	gabor45
72.281	48.187	stimOffset	011	1	5	flashed_4s	4.451	gabor45
72.498	48.332	stimOnset	011	1	5	flashed_4s	4.451	gabor45
72.531	48.354	stimOffset	011	1	5	flashed_4s	4.451	gabor45
72.748	48.499	stimOnset	011	1	5	flashed_4s	4.451	gabor45
72.781	48.521	stimOffset	011	1	5	flashed_4s	4.451	gabor45
72.998	48.665	stimOnset	011	1	5	flashed_4s	4.451	gabor45
73.031	48.687	stimOffset	011	1	5	flashed_4s	4.451	gabor45
73.248	48.832	stimOnset	011	1	5	flashed_4s	4.451	gabor45
73.281	48.854	stimOffset	011	1	5	flashed_4s	4.451	gabor45
73.498	48.999	stimOnset	011	1	5	flashed_4s	4.451	gabor45
73.531	49.021	stimOffset	011	1	5	flashed_4s	4.451	gabor45
73.748	49.165	stimOnset	011	1	5	flashed_4s	4.451	gabor45
