onset	onsetTR	message	subject	run	block	condition	phase	stimulus
4.500	3.000	stimOnset	011	4	1	continuous_6s	1.571	gabor135
6.167	4.111	fixCatch	011	4	1	continuous_6s	1.571	gabor135
10.500	7.000	stimOffset	011	4	1	continuous_6s	1.571	gabor135
10.516	7.011	fixCatch	011	4	1	continuous_6s	1.571	gabor135
10.533	7.022	breakOnset	011	4	1	continuous_6s	1.571	gabor135
10.539	7.026	buttonpress	011	4	1	continuous_6s	1.571	gabor135
10.550	7.033	buttonpress	011	4	1	continuous_6s	1.571	gabor135
23.999	16.000	stimOnset	011	4	2	flashed_4s	1.309	gabor45
24.033	16.022	stimOffset	011	4	2	flashed_4s	1.309	gabor45
24.249	16.166	stimOnset	011	4	2	flashed_4s	1.309	gabor45
24.283	16.188	stimOffset	011	4	2	flashed_4s	1.309	gabor45
24.499	16.333	stimOnset	011	4	2	flashed_4s	1.309	gabor45
24.533	16.355	stimOffset	011	4	2	flashed_4s	1.309	gabor45
24.749	16.500	stimOnset	011	4	2	flashed_4s	1.309	gabor45
24.783	16.522	stimOffset	011	4	2	flashed_4s	1.309	gabor45
24.999	16.666	stimOnset	011	4	2	flashed_4s	1.309	gabor45
25.033	16.688	stimOffset	011	4	2	flashed_4s	1.309	gabor45
25.249	16.833	stimOnset	011	4	2	flashed_4s	1.309	gabor45
25.283	16.855	stimOffset	011	4	2	flashed_4s	1.309	gabor45
25.499	17.000	stimOnset	011	4	2	flashed_4s	1.309	gabor45
25.533	17.022	stimOffset	011	4	2	flashed_4s	1.309	gabor45
25.749	17.166	stimOnset	011	4	2	flashed_4s	1.309	gabor45
25.783	17.188	stimOffset	011	4	2	flashed_4s	1.309	gabor45
25.999	17.333	stimOnset	011	4	2	flashed_4s	1.309	gabor45
26.033	17.355	stimOffset	011	4	2	flashed_4s	1.309	gabor45
26.249	17.500	stimOnset	011	4	2	flashed_4s	1.309	gabor45
26.283	17.522	stimOffset	011	4	2	flashed_4s	1.309	gabor45
26.499	17.666	stimOnset	011	4	2	flashed_4s	1.309	gabor45
26.533	17.688	stimOffset	011	4	2	flashed_4s	1.309	gabor45
26.749	17.833	stimOnset	011	4	2	flashed_4s	1.309	gabor45
26.783	17.855	stimOffset	011	4	2	flashed_4s	1.309	gabor45
26.999	17.999	stimOnset	011	4	2	flashed_4s	1.309	gabor45
27.033	18.022	stimOffset	011	4	2	flashed_4s	1.309	gabor45
27.249	18.166	stimOnset	011	4	2	flashed_4s	1.309	gabor45
27.283	18.188	stimOffset	011	4	2	flashed_4s	1.309	gabor45
27.499	18.333	stimOnset	011	4	2	flashed_4s	1.309	gabor45
27.533	18.355	stimOffset	011	4	2	flashed_4s	1.309	gabor45
27.749	18.499	stimOnset	011	4	2	flashed_4s	1.309	gabor45
27.783	18.522	stimOffset	011	4	2	flashed_4s	1.309	gabor45
27.999	18.666	breakOnset	011	4	2	flashed_4s	1.309	gabor45
38.999	25.999	stimOnset	011	4	3	flashed_6s	3.403	gabor45
39.032	26.021	stimOffset	011	4	3	flashed_6s	3.403	gabor45
39.249	26.166	stimOnset	011	4	3	flashed_6s	3.403	gabor45
39.282	26.188	stimOffset	011	4	3	flashed_6s	3.403	gabor45
39.499	26.333	stimOnset	011	4	3	flashed_6s	3.403	gabor45
39.532	26.355	stimOffset	011	4	3	flashed_6s	3.403	gabor45
39.749	26.499	stimOnset	011	4	3	flashed_6s	3.403	gabor45
39.782	26.521	stimOffset	011	4	3	flashed_6s	3.403	gabor45
39.999	26.666	stimOnset	011	4	3	flashed_6s	3.403	gabor45
40.032	26.688	stimOffset	011	4	3	flashed_6s	3.403	gabor45
40.249	26.833	stimOnset	011	4	3	flashed_6s	3.403	gabor45
40.282	26.855	stimOffset	011	4	3	flashed_6s	3.403	gabor45
40.499	26.999	stimOnset	011	4	3	flashed_6s	3.403	gabor45
40.532	27.021	stimOffset	011	4	3	flashed_6s	3.403	gabor45
40.749	27.166	stimOnset	011	4	3	flashed_6s	3.403	gabor45
40.782	27.188	stimOffset	011	4	3	flashed_6s	3.403	gabor45
40.999	27.333	stimOnset	011	4	3	flashed_6s	3.403	gabor45
41.032	27.355	stimOffset	011	4	3	flashed_6s	3.403	gabor45
41.249	27.499	stimOnset	011	4	3	flashed_6s	3.403	gabor45
41.282	27.521	stimOffset	011	4	3	flashed_6s	3.403	gabor45
41.499	27.666	stimOnset	011	4	3	flashed_6s	3.403	gabor45
41.532	27.688	stimOffset	011	4	3	flashed_6s	3.403	gabor45
41.749	27.833	stimOnset	011	4	3	flashed_6s	3.403	gabor45
41.782	27.855	stimOffset	011	4	3	flashed_6s	3.403	gabor45
41.999	27.999	stimOnset	011	4	3	flashed_6s	3.403	gabor45
42.032	28.021	stimOffset	011	4	3	flashed_6s	3.403	gabor45
42.249	28.166	stimOnset	011	4	3	flashed_6s	3.403	gabor45
42.282	28.188	stimOffset	011	4	3	flashed_6s	3.403	gabor45
42.499	28.333	stimOnset	011	4	3	flashed_6s	3.403	gabor45
42.532	28.355	stimOffset	011	4	3	flashed_6s	3.403	gabor45
42.749	28.499	stimOnset	011	4	3	flashed_6s	3.403	gabor45
42.782	28.521	stimOffset	011	4	3	flashed_6s	3.403	gabor45
42.999	28.666	stimOnset	011	4	3	flashed_6s	3.403	gabor45
43.032	28.688	stimOffset	011	4	3	flashed_6s	3.403	gabor45
43.249	28.833	stimOnset	011	4	3	flashed_6s	3.403	gabor45
43.282	28.855	stimOffset	011	4	3	flashed_6s	3.403	gabor45
43.499	28.999	stimOnset	011	4	3	flashed_6s	3.403	gabor45
43.532	29.021	stimOffset	011	4	3	flashed_6s	3.403	gabor45
43.749	29.166	stimOnset	011	4	3	flashed_6s	3.403	gabor45
43.782	29.188	stimOffset	011	4	3	flashed_6s	3.403	gabor45
43.999	29.332	stimOnset	011	4	3	flashed_6s	3.403	gabor45
44.032	29.355	stimOffset	011	4	3	flashed_6s	3.403	gabor45
44.249	29.499	stimOnset	011	4	3	flashed_6s	3.403	gabor45
44.282	29.521	stimOffset	011	4	3	flashed_6s	3.403	gabor45
44.499	29.666	stimOnset	011	4	3	flashed_6s	3.403	gabor45
44.532	29.688	stimOffset	011	4	3	flashed_6s	3.403	gabor45
44.749	29.832	stimOnset	011	4	3	flashed_6s	3.403	gabor45
44.782	29.855	stimOffset	011	4	3	flashed_6s	3.403	gabor45
44.999	29.999	breakOnset	011	4	3	flashed_6s	3.403	gabor45
53.998	35.999	stimOnset	011	4	4	continuous_8s	5.236	gabor45
57.598	38.399	fixCatch	011	4	4	continuous_8s	5.236	gabor45
61.998	41.332	stimOffset	011	4	4	continuous_8s	5.236	gabor45
62.015	41.343	breakOnset	011	4	4	continuous_8s	5.236	gabor45
62.018	41.346	buttonpress	011	4	4	continuous_8s	5.236	gabor45
76.498	50.999	stimOnset	011	4	5	continuous_4s	5.760	gabor135
76.631	51.087	fixCatch	011	4	5	continuous_4s	5.760	gabor135
80.498	53.665	stimOffset	011	4	5	continuous_4s	5.760	gabor135
80.514	53.676	breakOnset	011	4	5	continuous_4s	5.760	gabor135
80.518	53.678	buttonpress	011	4	5	continuous_4s	5.760	gabor135
94.497	62.998	stimOnset	011	4	6	flashed_6s	0.262	gabor45
94.531	63.020	stimOffset	011	4	6	flashed_6s	0.262	gabor45
94.747	63.165	stimOnset	011	4	6	flashed_6s	0.262	gabor45
94.781	63.187	stimOffset	011	4	6	flashed_6s	0.262	gabor45
94.897	63.265	fixCatch	011	4	6	flashed_6s	0.262	gabor45
94.900	63.267	fixCatchNextStimulus	011	4	6	flashed_6s	0.262	gabor45
94.997	63.331	stimOnset	011	4	6	flashed_6s	0.262	gabor45
95.031	63.354	stimOffset	011	4	6	flashed_6s	0.262	gabor45
95.247	63.498	stimOnset	011	4	6	flashed_6s	0.262	gabor45
95.281	63.520	stimOffset	011	4	6	flashed_6s	0.262	gabor45
95.497	63.665	stimOnset	011	4	6	flashed_6s	0.262	gabor45
95.531	63.687	stimOffset	011	4	6	flashed_6s	0.262	gabor45
95.747	63.831	stimOnset	011	4	6	flashed_6s	0.262	gabor45
95.781	63.854	stimOffset	011	4	6	flashed_6s	0.262	gabor45
95.997	63.998	stimOnset	011	4	6	flashed_6s	0.262	gabor45
96.031	64.020	stimOffset	011	4	6	flashed_6s	0.262	gabor45
96.247	64.165	stimOnset	011	4	6	flashed_6s	0.262	gabor45
96.281	64.187	stimOffset	011	4	6	flashed_6s	0.262	gabor45
96.497	64.331	stimOnset	011	4	6	flashed_6s	0.262	gabor45
96.531	64.354	stimOffset	011	4	6	flashed_6s	0.262	gabor45
96.747	64.498	stimOnset	011	4	6	flashed_6s	0.262	gabor45
96.781	64.520	stimOffset	011	4	6	flashed_6s	0.262	gabor45
